ExtensibilityAPI_Version,2.0.0.0
ScriptViewLoCConversionRate,0
ScriptViewTotalOccurrences,0
ScriptViewFullyConvertedOccurrences,0
ScriptViewTotalLinesOfCode,0
ScriptViewTotalCharacters,0
ScriptViewTotalParsingErrors,0
ScriptViewTotalConversionErrors,0
ScriptViewTotalWarnings,0
ScriptViewCharacterConversionRate,0
ScriptProcedureObjectConversionRate,0
ScriptProcedureLoCConversionRate,0
ScriptProcedureTotalOccurrences,0
ScriptProcedureFullyConvertedOccurrences,0
ScriptProcedureTotalLinesOfCode,0
ScriptProcedureTotalCharacters,0
ScriptProcedureTotalParsingErrors,0
ScriptProcedureTotalConversionErrors,0
ScriptProcedureTotalWarnings,0
ScriptProcedureCharacterConversionRate,0
ScriptFunctionObjectConversionRate,0
ScriptFunctionLoCConversionRate,0
ScriptFunctionTotalOccurrences,0
ScriptFunctionFullyConvertedOccurrences,0
ScriptFunctionTotalLinesOfCode,0
ScriptFunctionTotalCharacters,0
ScriptFunctionTotalParsingErrors,0
ScriptFunctionTotalConversionErrors,0
ScriptFunctionTotalWarnings,0
ScriptFunctionCharacterConversionRate,0
MacroObjectConversionRate,0
MacroLoCConversionRate,0
MacroTotalOccurrences,0
MacroFullyConvertedOccurrences,0
MacroTotalWarnings,0
MacroTotalLinesOfCode,0
MacroTotalCharacters,0
MacroTotalParsingErrors,0
MacroTotalConversionErrors,0
MacroCharacterConversionRate,0
SqlMacroObjectConversionRate,0
SqlMacroLoCConversionRate,0
SqlMacroTotalOccurrences,0
SqlMacroFullyConvertedOccurrences,0
SqlMacroTotalWarnings,0
SqlMacroTotalLinesOfCode,0
SqlMacroTotalCharacters,0
SqlMacroTotalParsingErrors,0
SqlMacroTotalConversionErrors,0
SqlMacroCharacterConversionRate,0
ScriptMacroObjectConversionRate,0
ScriptMacroLoCConversionRate,0
ScriptMacroTotalOccurrences,0
ScriptMacroFullyConvertedOccurrences,0
ScriptMacroTotalWarnings,0
ScriptMacroTotalLinesOfCode,0
ScriptMacroTotalCharacters,0
ScriptMacroTotalParsingErrors,0
ScriptMacroTotalConversionErrors,0
ScriptMacroCharacterConversionRate,0
JoinIndexObjectConversionRate,0
JoinIndexLoCConversionRate,0
JoinIndexTotalOccurrences,0
JoinIndexFullyConvertedOccurrences,0
JoinIndexTotalWarnings,0
JoinIndexTotalLinesOfCode,0
JoinIndexTotalCharacters,0
JoinIndexTotalParsingErrors,0
JoinIndexTotalConversionErrors,0
JoinIndexCharacterConversionRate,0
SqlJoinIndexObjectConversionRate,0
SqlJoinIndexLoCConversionRate,0
SqlJoinIndexTotalOccurrences,0
SqlJoinIndexFullyConvertedOccurrences,0
SqlJoinIndexTotalLinesOfCode,0
SqlJoinIndexTotalCharacters,0
SqlJoinIndexTotalParsingErrors,0
SqlJoinIndexTotalWarnings,0
SqlJoinIndexTotalConversionErrors,0
SqlJoinIndexCharacterConversionRate,0
ScriptJoinIndexObjectConversionRate,0
ScriptJoinIndexLoCConversionRate,0
ScriptJoinIndexTotalOccurrences,0
ScriptJoinIndexFullyConvertedOccurrences,0
ScriptJoinIndexTotalWarnings,0
ScriptJoinIndexTotalLinesOfCode,0
ScriptJoinIndexTotalCharacters,0
ScriptJoinIndexTotalParsingErrors,0
ScriptJoinIndexTotalConversionErrors,0
ScriptJoinIndexCharacterConversionRate,0
